school,city,year,E_B_plan,prev_year_value,ratio_vs_prev,flag,reason
仰恩大学,泉州,2019,135,,,,
仰恩大学,泉州,2024,1826,135,13.53,JUMP,相邻可得年份135→1826，13.53倍跳变
华侨大学,泉州/厦门,2019,113,,,,
华侨大学,泉州/厦门,2021,97,113,0.86,,
华侨大学,泉州/厦门,2023,117,97,1.21,,
厦门大学,厦门,2019,268,,,,
厦门大学,厦门,2020,559,268,2.09,,
厦门大学,厦门,2021,790,559,1.41,,
厦门大学,厦门,2023,2036,790,2.58,,
厦门大学,厦门,2024,0,2036,,ZERO,计划数为0（主批次疑似漏抽）
泉州职业技术大学,泉州,2019,830,,,,
泉州职业技术大学,泉州,2020,643,830,0.77,,
泉州职业技术大学,泉州,2021,439,643,0.68,,
泉州职业技术大学,泉州,2022,1324,439,3.02,,
泉州职业技术大学,泉州,2023,375,1324,0.28,,
泉州职业技术大学,泉州,2024,1685,375,4.49,JUMP,相邻可得年份375→1685，4.49倍跳变
福州大学,福州,2019,444,,,,
福州大学,福州,2020,5229,444,11.78,JUMP,相邻可得年份444→5229，11.78倍跳变
福州大学,福州,2021,1529,5229,0.29,,
福州大学,福州,2022,400,1529,0.26,,
福州大学,福州,2023,1681,400,4.2,JUMP,相邻可得年份400→1681，4.2倍跳变
福州大学,福州,2024,2,1681,,NEAR_ZERO,计划数仅2（主批次疑似漏抽）
福建中医药大学,福州,2019,114,,,,
福建中医药大学,福州,2020,6679,114,58.59,JUMP,相邻可得年份114→6679，58.59倍跳变
福建中医药大学,福州,2024,1847,6679,0.28,,
福建农林大学,福州,2019,239,,,,
福建农林大学,福州,2020,194,239,0.81,,
福建农林大学,福州,2021,334,194,1.72,,
福建农林大学,福州,2022,2865,334,8.58,JUMP,相邻可得年份334→2865，8.58倍跳变
福建农林大学,福州,2023,1187,2865,0.41,,
福建农林大学,福州,2024,972,1187,0.82,,
福建师范大学,福州,2019,393,,,,
福建师范大学,福州,2020,369,393,0.94,,
福建师范大学,福州,2021,333,369,0.9,,
福建师范大学,福州,2024,421,333,1.26,,
福建理工大学,福州,2023,272,,,,
福建理工大学,福州,2024,331,272,1.22,,
闽南师范大学,漳州,2019,4125,,,,
闽南师范大学,漳州,2020,19,4125,,JUMP,相邻可得年份4125→19，0.0倍跳变
闽南师范大学,漳州,2022,953,19,50.16,JUMP,相邻可得年份19→953，50.16倍跳变
闽南师范大学,漳州,2023,1187,953,1.25,,
集美大学,厦门,2019,227,,,,
集美大学,厦门,2021,2721,227,11.99,JUMP,相邻可得年份227→2721，11.99倍跳变
集美大学,厦门,2023,1634,2721,0.6,,
集美大学,厦门,2024,2799,1634,1.71,,
