0,1,2,3
产品名称,单位,产量,比上年增长(%)
卷 烟,亿支,909.92,0.6
彩色电视机,万台,775.60,-23.3
其中：液晶电视机,万台,775.60,-23.0
房间空气调节器,万台,234.99,2.2
原 煤,万吨,417.68,-2.6
发电量,亿千瓦时,3585.35,9.5
其中：火力发电量,亿千瓦时,1927.45,9.3
水力发电量,亿千瓦时,445.19,20.8
核力发电量,亿千瓦时,853.68,-0.1
风力发电量,亿千瓦时,249.24,15.5
太阳能发电量,亿千瓦时,109.06,54.8
十种有色金属,万吨,109.01,-0.3
其中：精炼铜（电解铜）,万吨,89.52,2.7
原铝（电解铝）,万吨,7.11,-1.1
水 泥,万吨,6398.29,-9.0
烧 碱（折100%）,万吨,91.96,35.1
乙 烯,万吨,256.92,-6.3
发电机组,万千瓦,175.43,96.0
汽 车,万辆,23.15,-30.3
其中：基本型乘用车（轿车）,万辆,5.17,-60.5
运动型多用途乘用车（SUV）,万辆,8.11,-22.4
新能源汽车,万辆,2.48,-74.7
集成电路,亿块,23.73,31.3
微型计算机设备,万台,357.35,-23.3
